"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"90","175.94288074237713","216.21234872418606","0.005126953125","0.0087890625","0.00146484375","2280","0.0007448165762578276","32","0.0007448165762578276","0","0.0007448165762578276","0.0007448165762578276","89:0.0025905010910366455;91:0.0042430953998970344","89:68;91:68","89:0.003565568826553539;91:0.002681215255234237","Yes"
"91","224.5812877149991","112.75027984985655","0.00341796875","0.00634765625","0.00048828125","2280","0.0002977422773900202","32","0.0002977422773900202","0","0.0002977422773900202","0.0002977422773900202","98:0.0013876117212279493;90:0.0042430953998970344;92:0.0015828543699373532","98:68;90:68;92:68","98:0.0018044749065742605;90:0.002681215255234237;92:0.0019405615199167836","Yes"
"92","225.55132189811627","156.4501810300411","0.025390625","0.01025390625","0.04052734375","2280","0.00023396363630536344","32","0.00023396363630536344","0","0.00023396363630536344","0.00023396363630536344","91:0.0015828543699373532;93:0.002828835092725579","91:68;93:68","91:0.0019405615199167836;93:0.003098537726912348","Yes"
"93","216.87623669978586","126.02892620067232","0.009033203125","0.01708984375","0.0009765625","2280","0.0003221231193096897","32","0.0003221231193096897","0","0.0003221231193096897","0.0003221231193096897","94:0.003484167416106354;79:0.0015190732454558598;92:0.002828835092725579","94:68;79:68;92:68","94:0.004770270560794709;79:0.0038547970843204327;92:0.003098537726912348","Yes"
"94","236.73843849286897","133.0962019357519","0.013671875","0.009765625","0.017578125","2280","0.00012168072347587957","32","0.00012168072347587957","0","0.00012168072347587957","0.00012168072347587957","93:0.003484167416106354;95:0.0014095762931759515","93:68;95:68","93:0.004770270560794709;95:0.0024199660398567524","Yes"
"95","389.162090788294","298.12664330019766","0.002685546875","0.00439453125","0.0009765625","2280","0.0001949956996414628","32","0.0001949956996414628","0","0.0001949956996414628","0.0001949956996414628","99:0.0013447310502097132;94:0.0014095762931759515","99:68;94:68","99:0.002946531334314745;94:0.0024199660398567524","Yes"
"96","357.1034649868069","165.14317827914869","0.00244140625","0.00390625","0.0009765625","2280","0.00014193634104280552","32","0.00014193634104280552","0","0.00014193634104280552","0.00014193634104280552","83:0.0013337274139587074;103:0.0018480393332252765","83:68;103:68","83:0.0015923246621213083;103:0.0023187663193561525","Yes"
"97","284.1682141587327","56.14716320371151","0.00146484375","0.0029296875","0","2280","0.00013647274936088143","32","0.00013647274936088143","0","0.00013647274936088143","0.00013647274936088143","87:0.0022488980049971685;107:0.0012378781496248936","87:68;107:68","87:0.002394959774819405;107:0.0031080071393252695","Yes"
"98","214.35854797243957","53.46224724818526","0.005126953125","0.00634765625","0.00390625","2280","0.00042918379008330474","32","0.00042918379008330474","0","0.00042918379008330474","0.00042918379008330474","91:0.0013876117212279493;111:0.0017676685525691571","91:68;111:68","91:0.0018044749065742605;111:0.002231325879930801","Yes"
"99","220.3473774907066","170.1237045912643","0.015625","0.02392578125","0.00732421875","2280","0.00012121584214856675","32","0.00012121584214856675","0","0.00012121584214856675","0.00012121584214856675","115:0.004598319248451221;95:0.0013447310502097132","115:68;95:68","115:0.004633886423250633;95:0.002946531334314745","Yes"
"100","216.60924567316454","198.770705533826","0.003173828125","0.00634765625","0","2280","0.0002418681919963411","32","0.0002418681919963411","0","0.0002418681919963411","0.0002418681919963411","101:0.0015152466508003837","101:68","101:0.002789312563172913","Yes"
"101","373.3858102391154","167.95722921401315","0.005615234375","0.01025390625","0.0009765625","2280","0.00013367936661270067","32","0.00013367936661270067","0","0.00013367936661270067","0.00013367936661270067","100:0.0015152466508003837;116:0.0012255896976052782;102:0.0012702602651571693","100:68;116:68;102:68","100:0.002789312563172913;116:0.0013739886610029395;102:0.0025432923710380084","Yes"
